"Q260","Q262","Q275","Q71","Q115","Q113","Q199","Q251","Q33"
1,55,3,1,3,2,2,10,2
1,32,2,2,2,2,2,5,2
1,43,2,2,3,3,3,3,1
1,43,1,1,3,2,2,7,2
1,45,2,1,2,2,2,7,1
2,61,0,1,2,2,1,10,2
2,66,1,1,2,2,2,7,4
2,63,1,1,-2,1,3,8,4
2,56,2,1,2,2,2,9,4
1,50,1,2,2,2,2,6,4
2,62,1,1,3,2,4,10,2
1,44,2,1,3,2,4,8,2
1,58,1,1,2,2,2,8,1
1,63,2,2,3,2,1,10,4
1,50,1,1,2,2,2,4,2
1,50,1,1,2,2,2,4,2
1,66,1,2,4,2,3,8,4
1,56,1,1,3,3,2,7,1
2,61,0,1,2,2,3,7,4
2,55,2,1,3,2,2,7,2
2,33,2,2,3,3,2,9,2
2,37,2,1,2,2,4,10,4
1,58,1,1,3,2,1,8,2
1,47,1,2,4,-1,3,3,1
1,39,2,2,3,3,4,8,2
1,39,2,2,3,3,4,4,1
1,67,2,2,2,2,4,9,3
2,62,1,1,2,2,3,8,2
1,38,2,1,3,3,3,8,4
2,51,2,1,2,2,2,10,3
2,58,2,1,2,2,2,8,4
2,63,0,2,2,2,3,8,1
2,63,1,1,2,2,1,10,2
2,40,2,1,2,2,3,7,4
2,60,1,2,2,2,1,9,2
1,69,1,2,3,2,2,8,1
1,42,2,2,2,3,2,6,4
1,46,2,1,2,2,3,6,2
2,50,1,2,2,2,3,5,2
1,38,2,1,3,2,3,10,4
1,61,1,1,2,2,1,6,1
1,50,2,2,1,3,2,9,1
2,66,1,1,2,2,2,5,1
2,44,2,2,3,4,3,3,2
2,52,2,1,2,2,2,10,4
2,33,1,2,3,3,3,2,4
2,35,3,2,3,2,2,10,2
1,67,1,1,2,2,3,10,1
2,62,0,1,2,2,4,7,1
2,67,2,1,-1,-1,2,6,2
2,58,1,2,2,2,4,4,2
1,26,6,1,3,2,3,3,2
2,60,0,1,3,2,2,5,4
2,22,2,1,3,3,2,6,2
2,49,2,1,2,2,2,2,2
1,55,1,1,2,2,1,7,1
1,43,2,2,3,3,2,6,4
2,49,3,3,2,2,3,7,2
2,57,0,1,2,2,1,10,1
2,43,2,2,2,2,3,6,4
2,62,1,1,3,2,4,8,2
1,60,3,1,3,2,2,8,2
1,53,2,1,-2,-2,3,9,1
2,55,2,1,3,2,2,9,2
1,52,2,1,3,1,1,2,1
2,43,2,1,3,2,3,8,1
2,34,2,2,2,2,2,7,1
2,31,3,2,3,3,2,1,2
1,61,3,1,2,2,2,7,2
1,54,2,1,2,2,2,4,5
1,56,2,2,2,2,1,8,2
1,33,2,1,3,3,4,4,1
2,39,1,1,3,3,4,5,2
2,50,1,2,2,2,3,8,1
2,55,1,1,3,1,1,10,5
1,44,2,2,3,3,2,5,2
1,51,2,1,3,2,3,8,2
1,48,2,1,2,2,3,3,2
1,58,2,1,3,2,1,8,1
2,49,2,2,2,2,2,7,2
2,49,2,1,3,3,4,6,2
1,51,1,2,3,3,4,5,1
2,44,1,1,2,2,3,6,2
2,59,1,1,1,1,4,10,2
2,62,1,1,2,2,1,5,2
1,47,1,1,3,2,4,8,4
1,65,1,1,3,2,1,8,2
1,67,1,1,3,2,3,8,4
2,69,1,1,2,2,1,8,4
1,61,0,1,3,3,1,10,1
2,48,2,1,2,2,2,7,2
2,45,1,1,2,2,4,9,4
2,61,1,1,2,2,2,8,1
2,48,1,1,2,2,3,10,1
2,41,1,1,2,2,2,7,1
1,58,1,1,3,3,1,10,1
1,56,1,1,3,3,3,1,1
1,52,2,1,3,3,2,8,1
1,34,3,2,3,2,2,5,2
2,67,1,1,2,2,3,10,2
2,54,1,1,2,2,2,1,1
2,57,1,1,2,2,1,10,1
2,30,1,2,1,2,2,8,5
2,25,1,2,1,2,4,6,2
2,32,1,1,3,2,2,6,2
1,69,1,1,2,2,2,8,2
1,65,1,1,2,2,2,9,4
2,36,1,2,2,1,1,8,2
2,64,2,1,3,2,1,8,4
2,24,2,1,3,2,3,6,3
1,52,2,1,2,2,1,10,2
1,59,1,1,3,1,1,9,2
1,33,2,2,3,2,3,2,2
2,68,1,1,2,2,4,10,2
1,62,3,2,3,2,2,7,1
1,50,1,1,1,1,1,10,1
2,59,1,1,3,2,2,7,1
2,32,2,1,2,2,3,6,4
2,24,1,1,3,2,3,6,4
2,48,2,1,2,2,4,5,2
1,58,2,1,4,2,1,8,1
2,46,1,2,3,2,2,5,1
1,53,1,1,2,2,2,3,4
2,33,6,2,3,2,3,6,4
1,57,2,2,2,2,4,6,2
2,67,2,1,2,1,1,10,4
2,56,3,3,3,3,4,6,4
2,49,3,2,2,2,1,10,4
1,60,3,2,2,2,2,7,1
2,62,3,2,2,1,1,7,1
2,35,3,1,2,2,2,8,2
2,61,2,1,2,2,3,7,2
1,56,3,2,2,2,3,5,4
1,38,2,2,2,2,2,8,4
1,49,2,1,2,2,1,10,4
1,57,3,1,2,2,3,7,2
2,30,6,2,3,2,2,6,4
2,49,3,1,2,1,2,10,2
2,68,3,2,2,2,2,6,4
1,61,3,2,2,2,3,6,2
1,58,3,2,2,2,2,8,4
2,67,2,1,2,2,2,8,1
2,67,2,2,2,2,2,6,2
1,66,6,1,1,2,3,5,2
1,41,7,3,3,2,2,2,4
1,39,3,1,2,2,1,10,5
2,32,2,2,2,2,2,7,4
2,49,1,1,2,2,3,8,3
1,31,6,1,2,2,2,7,4
1,64,2,3,2,2,2,5,5
1,57,3,1,2,2,4,7,4
1,50,3,2,2,2,2,10,4
1,31,6,2,2,2,4,8,2
2,66,3,1,2,2,1,8,2
2,28,6,2,3,2,3,4,5
2,66,3,1,2,2,2,5,2
1,61,3,2,2,2,3,8,3
2,24,6,2,2,2,2,6,4
1,43,2,2,2,2,2,7,4
1,25,7,1,2,2,4,8,5
2,49,3,2,2,2,3,7,2
2,67,2,2,3,2,2,6,4
2,51,2,1,2,2,2,10,2
1,69,3,2,3,3,2,8,2
2,26,6,1,3,2,4,9,4
2,32,0,3,2,2,4,2,5
2,30,6,1,2,2,2,9,4
2,67,2,1,2,2,2,3,2
2,35,6,2,2,2,2,5,3
1,60,3,2,2,2,3,4,4
1,68,3,2,2,2,3,10,4
1,56,3,2,2,2,2,7,2
1,57,3,1,3,1,2,3,1
2,61,2,2,2,2,2,9,2
2,22,6,2,2,2,3,3,4
1,61,2,3,3,2,2,3,2
1,39,6,2,2,2,2,4,2
1,64,3,1,2,2,1,8,1
1,69,2,2,2,2,4,7,1
2,35,6,2,3,3,3,7,5
1,56,3,2,2,2,4,8,2
2,61,3,2,3,3,3,10,2
2,42,2,1,2,2,3,5,2
2,53,1,1,2,2,3,8,1
2,18,3,2,3,2,2,7,4
1,35,6,3,2,2,2,6,2
1,26,6,1,2,2,2,8,4
2,59,2,1,1,1,1,3,1
2,56,2,1,2,2,4,6,2
1,31,3,1,3,2,3,10,2
2,62,3,1,2,2,1,10,2
2,40,3,1,3,3,3,1,3
2,54,2,1,2,2,3,7,4
2,55,3,1,2,2,2,10,4
1,27,6,2,2,2,2,5,4
2,59,3,1,3,2,1,8,1
2,48,3,2,2,2,2,6,2
2,54,0,1,3,2,3,8,2
2,26,6,1,2,2,3,6,4
2,37,3,2,2,2,3,4,2
1,52,2,1,2,2,1,9,1
1,28,6,2,3,2,3,6,4
